Event_num,,Start,Dur,Amp,Freq,FModA,ixA1,ixA2,FModB,ixB1 (always 0),ixB2,att,dec,skew,dis,rev,,,,,,ch1,ch2,ch3,ch4,,,ampF,skwF,IAF,IBF,,,,,,,
59,i1,182.4756209,9.677536529,366.4444413,725.5727913,1173.976776,0.296131551,1.184526205,277.1688063,0,3.184526205,3.222619664,3.871014611,0.01943088,0.25,0.06,0,0,0,0,0,0.615032412,0,0,0.788501828,0,0,2,6,3,4,,,,,,,
60,i1,183.4951519,11.08946878,356.8867593,765.4217939,1238.452462,0.289447849,1.157791396,292.3911253,0,3.157791396,3.692793103,4.435787511,0.018799272,0.25,0.06,0,0,0,0,0,0.961907109,0,0,0.273376505,0,0,2,6,3,4,,,,,,,
61,i1,184.1225556,12.65335478,328.239506,898.5874101,1453.91443,0.269275482,1.077101928,343.2603907,0,3.077101928,4.213567142,5.061341912,0.016922868,0.25,0.06,0,0,0,0,0,0.707106781,0.707106781,0,0,0,0,2,6,3,4,,,,,,,
62,i1,185.7694903,13.10007496,385.5398661,651.9905754,1054.920751,0.309418234,1.237672935,249.0603998,0,3.237672935,4.362324963,5.240029985,0.020700792,0.25,0.06,0,0,0,0,0,0,0.947371065,0.320137572,0,0,0,2,6,3,4,,,,,,,
63,i1,191.1086957,29.75688714,347.3294938,807.4593336,1306.469202,0.282741517,1.130966067,308.4494654,0,3.130966067,5.18574499,13.07377677,0.018170442,0.25,0.05,0,0,0,0,0,0,0,0.733885675,0.679273005,0,0,2,6,3,4,,,,,,,
64,i1,195.8913043,34.89255238,395.0678991,618.0469716,1000,0.31601549,1.264061958,236.0939431,0,3.264061958,5.166029544,16.11793336,0.021338326,0.25,0.05,0,0,0,0,0,0,0,0.138733802,0.990329709,0,0,2,6,3,4,,,,,,,
65,i1,203.6630435,37.02902765,318.7192874,947.9385054,1533.764502,0.262523743,1.05009497,362.1125091,0,3.05009497,7.094156907,15.72684883,0.016305044,0.25,0.05,0,0,0,0,0,0.726466346,0,0,0.687202043,0,0,2,6,3,4,,,,,,,
66,i1,205.4565217,42.50971706,414.0629676,555.3692275,898.5874101,0.32910554,1.316422158,212.1510449,0,3.316422158,5.885242569,19.99389356,0.02261678,0.25,0.05,0,0,0,0,0,0.947371065,0.320137572,0,0,0,0,2,6,3,4,,,,,,,
67,i1,208.4456522,46.55434783,470.315228,402.9608006,651.9905754,0.367412454,1.469649815,153.9310258,0,3.469649815,5.232844508,22.97352477,0.02645779,0.25,0.05,0,0,0,0,0,0.543160998,0.839628567,0,0,0,0,2,6,3,4,,,,,,,
68,i1,233,9.714673913,461.045559,1112.805518,425.0594034,0.722289818,1.444579637,687.7461147,0,3.444579637,1.131353412,4.758622747,0.025819445,0.222222222,0.04,0,0,0,0,0,0.868996626,0.494818011,0,0,0,0,2,6,3,4,,,,,,,
